,filename
0,nejmc2001573_f1a.jpeg
1,lancet-case2a.jpg
2,lancet-case2b.jpg
3,SARS-10.1148rg.242035193-g04mr34g04a-Fig4a-day7.jpeg
4,SARS-10.1148rg.242035193-g04mr34g04b-Fig4b-day12.jpeg
5,SARS-10.1148rg.242035193-g04mr34g05x-Fig5-day9.jpeg
6,SARS-10.1148rg.242035193-g04mr34g07b-Fig7b-day12.jpeg
7,nCoV-radiol.2020200269.fig1-day7.jpeg
8,nejmoa2001191_f1-PA.jpeg
9,nejmoa2001191_f3-PA.jpeg
10,nejmoa2001191_f4.jpeg
11,nejmoa2001191_f5-PA.jpeg
12,ryct.2020200034.fig2.jpeg
13,ryct.2020200028.fig1a.jpeg
14,jkms-35-e79-g001-l-a.jpg
15,jkms-35-e79-g001-l-b.jpg
16,radiol.2020200490.fig3.jpeg
17,1-s2.0-S0929664620300449-gr2_lrg-a.jpg
18,1-s2.0-S0929664620300449-gr2_lrg-b.jpg
19,1-s2.0-S0929664620300449-gr2_lrg-c.jpg
20,1-s2.0-S0929664620300449-gr2_lrg-d.jpg
21,covid-19-pneumonia-15-PA.jpg
22,covid-19-pneumonia-2.jpg
23,covid-19-pneumonia-7-PA.jpg
24,covid-19-pneumonia-14-PA.png
25,covid-19-pneumonia-12.jpg
26,acute-respiratory-distress-syndrome-ards-1.jpg
27,pneumocystis-pneumonia-2-PA.png
28,pneumonia-7.jpg
29,39EE8E69-5801-48DE-B6E3-BE7D1BCF3092.jpeg
30,7C69C012-7479-493F-8722-ABC29C60A2DD.jpeg
31,2C10A413-AABE-4807-8CCE-6A2025594067.jpeg
32,E1724330-1866-4581-8CD8-CEC9B8AFEDDE.jpeg
33,8FDE8DBA-CFBD-4B4C-B1A4-6F36A93B7E87.jpeg
34,9C34AF49-E589-44D5-92D3-168B3B04E4A6.jpeg
35,F2DE909F-E19C-4900-92F5-8F435B031AC6.jpeg
36,31BA3780-2323-493F-8AED-62081B9C383B.jpeg
37,F051E018-DAD1-4506-AD43-BE4CA29E960B.jpeg
38,1312A392-67A3-4EBF-9319-810CF6DA5EF6.jpeg
39,23E99E2E-447C-46E5-8EB2-D35D12473C39.png
40,7AF6C1AF-D249-4BD2-8C26-449304105D03.jpeg
41,1B734A89-A1BF-49A8-A1D3-66FAFA4FAC5D.jpeg
42,CD50BA96-6982-4C80-AE7B-5F67ACDBFA56.jpeg
43,85E52EB3-56E9-4D67-82DA-DEA247C82886.jpeg
44,6CB4EFC6-68FA-4CD5-940C-BEFA8DAFE9A7.jpeg
45,01E392EE-69F9-4E33-BFCE-E5C968654078.jpeg
46,F63AB6CE-1968-4154-A70F-913AF154F53D.jpeg
47,2C26F453-AF3B-4517-BB9E-802CF2179543.jpeg
48,93FE0BB1-022D-4F24-9727-987A07975FFB.jpeg
49,F4341CE7-73C9-45C6-99C8-8567A5484B63.jpeg
50,E63574A7-4188-4C8D-8D17-9D67A18A1AFA.jpeg
51,5CBC2E94-D358-401E-8928-965CCD965C5C.jpeg
52,446B2CB6-B572-40AB-B01F-1910CA07086A.jpeg
53,80446565-E090-4187-A031-9D3CEAA586C8.jpeg
54,7E335538-2F86-424E-A0AB-6397783A38D0.jpeg
55,ciaa199.pdf-001-b.png
56,kjr-21-e24-g001-l-a.jpg
57,kjr-21-e24-g002-l-a.jpg
58,kjr-21-e24-g003-l-a.jpg
59,1-s2.0-S1684118220300682-main.pdf-002-a1.png
60,1-s2.0-S1684118220300682-main.pdf-002-a2.png
61,1-s2.0-S1684118220300682-main.pdf-003-b1.png
62,1-s2.0-S1684118220300682-main.pdf-003-b2.png
63,FE9F9A5D-2830-46F9-851B-1FF4534959BE.jpeg
64,171CB377-62FF-4B76-906C-F3787A01CB2E.jpeg
65,5931B64A-7B97-485D-BE60-3F1EA76BC4F0.jpeg
66,C6EA0BE5-B01E-4113-B194-18D956675E25.jpeg
67,7EF28E12-F628-4BEC-A8C5-E6277C2E4F60.png
68,5e6dd879fde9502400e58b2f.jpeg
69,covid-19-pneumonia-19.jpg
70,kjr-21-e25-g001-l-a.jpg
71,03BF7561-A9BA-4C3C-B8A0-D3E585F73F3C.jpeg
72,figure1-5e75d0940b71e1b702629659-98-right.jpeg
73,1F6343EE-AFEC-4B7D-97F5-62797EE18767.jpeg
74,5A78BCA9-5B7A-440D-8A4E-AE7710EA6EAD.jpeg
75,2B8649B2-00C4-4233-85D5-1CE240CF233B.jpeg
76,6C94A287-C059-46A0-8600-AFB95F4727B7.jpeg
77,pneumococcal-pneumonia-day0.jpg
78,pneumococcal-pneumonia-day7.jpg
79,pneumococcal-pneumonia-day35.jpg
80,parapneumonic-effusion-1-PA.png
81,right-upper-lobe-pneumonia-9-PA.jpg
82,chlamydia-pneumonia-PA.png
83,cavitating-pneumonia-4-day0-PA.jpg
84,cavitating-pneumonia-4-day28-PA.png
85,covid-19-pneumonia-30-PA.jpg
86,58cb9263f16e94305c730685358e4e_jumbo.jpeg
87,9fdd3c3032296fd04d2cad5d9070d4_jumbo.jpeg
88,covid-19-pneumonia-rapidly-progressive-admission.jpg
89,covid-19-pneumonia-rapidly-progressive-12-hours.jpg
90,covid-19-pneumonia-rapidly-progressive-3-days.jpg
91,covid-19-rapidly-progressive-acute-respiratory-distress-syndrome-ards-admission.jpg
92,covid-19-rapidly-progressive-acute-respiratory-distress-syndrome-ards-day-2.jpg
93,covid-19-rapidly-progressive-acute-respiratory-distress-syndrome-ards-day-3.jpg
94,covid-19-infection-exclusive-gastrointestinal-symptoms-pa.png
95,covid-19-pneumonia-28.png
96,klebsiella-pneumonia-1.jpg
97,pneumocystis-jirovecii-pneumonia-3-1.jpg
98,pneumocystis-jirovecii-pneumonia-3-2.jpg
99,pneumocystis-pneumonia-1.jpg
100,pneumocystis-pneumonia-8.jpg
101,pneumocystis-pneumonia-12.png
102,pneumocystis-jiroveci-pneumonia-2.png
103,pneumocystis-jirovecii-pneumonia-2.jpg
104,pneumocystis-jiroveci-pneumonia-4-PA.png
105,legionella-pneumonia-1.png
106,legionella-pneumonia-2.jpg
107,1.CXRCTThoraximagesofCOVID-19fromSingapore.pdf-000-fig1b.png
108,1.CXRCTThoraximagesofCOVID-19fromSingapore.pdf-001-fig2a.png
109,1.CXRCTThoraximagesofCOVID-19fromSingapore.pdf-002-fig3b.png
110,1.CXRCTThoraximagesofCOVID-19fromSingapore.pdf-003-fig4a.png
111,1.CXRCTThoraximagesofCOVID-19fromSingapore.pdf-003-fig4b.png
112,covid-19-pneumonia-24-day6.jpg
113,covid-19-pneumonia-24-day7.jpg
114,covid-19-pneumonia-24-day12.jpg
115,covid-19-pneumonia-evolution-over-a-week-1-day0-PA.jpg
116,covid-19-pneumonia-evolution-over-a-week-1-day3.jpg
117,covid-19-pneumonia-evolution-over-a-week-1-day4.jpg
118,covid-19-pneumonia-evolution-over-a-week-1-day6.jpg
119,covid-19-pneumonia-23-day1.jpg
120,covid-19-pneumonia-23-day3.jpg
121,covid-19-pneumonia-23-day9.jpg
122,A7E260CE-8A00-4C5F-A7F5-27336527A981.jpeg
123,RX-torace-a-letto-del-paziente-in-unica-proiezione-AP-1-1.jpeg
124,covid-19-caso-70-1-PA.jpg
125,covid-19-caso-70-2-APS.jpg
126,4e43e48d52c9e2d4c6c1fb9bc1544f_jumbo.jpeg
127,covid-19-pneumonia-53.jpg
128,post-intubuation-pneumomediastium-and-pneumothorax-background-covid-19-pneumonia-day1.jpg
129,post-intubuation-pneumomediastium-and-pneumothorax-background-covid-19-pneumonia-day6-2.jpg
130,post-intubuation-pneumomediastium-and-pneumothorax-background-covid-19-pneumonia-day7.jpg
131,covid-19-pneumonia-49-day4.jpg
132,covid-19-pneumonia-49-day8.jpg
133,covid-19-pneumonia-43-day0.jpeg
134,covid-19-pneumonia-43-day2.jpeg
135,covid-19-pneumonia-40.jpg
136,covid-19-pneumonia-42.jpeg
137,da9e9aac-de8c-44c7-ba57-e7cc8e4caaba.annot.original.jpeg
138,4ad30bc6-2da0-4f84-bc9b-62acabfd518a.annot.original.png
139,figure1-5e7c1b8d98c29ab001275405-98.jpeg
140,figure1-5e7c1b8d98c29ab001275405-98-later.jpeg
141,radiol.2020201160.fig3b.jpeg
142,radiol.2020201160.fig6b.jpeg
143,radiol.2020200274.fig3d.png
144,covid-19-pneumonia-20-pa-on-admission.jpg
145,covid-19-pneumonia-20.jpg
146,covid-19-pneumonia-22-day1-pa.png
147,covid-19-pneumonia-34.png
148,covid-19-pneumonia-38-pa.jpg
149,covid-19-pneumonia-35-1.jpg
150,covid-19-pneumonia-35-2.jpg
151,covid-19-pneumonia-44-day-0.jpeg
152,covid-19-pneumonia-58-prior.jpg
153,covid-19-pneumonia-58-day-9.jpg
154,covid-19-pneumonia-58-day-10.jpg
155,covid-19-pneumonia-mild.JPG
